nome,longitudin,latitudine
Cerambyx cerdo,385000.000,4995000.000
Cerambyx cerdo,475000.000,4405000.000
Cerambyx cerdo,495000.000,4405000.000
Cerambyx cerdo,495000.000,4475000.000
Cerambyx cerdo,495000.000,4495000.000
Cerambyx cerdo,465000.000,4505000.000
Cerambyx cerdo,485000.000,4525000.000
Cerambyx cerdo,415000.000,4865000.000
Cerambyx cerdo,435000.000,4875000.000
Cerambyx cerdo,455000.000,4895000.000
Cerambyx cerdo,415000.000,4945000.000
Cerambyx cerdo,425000.000,4945000.000
Cerambyx cerdo,455000.000,4905000.000
Cerambyx cerdo,455000.000,4915000.000
Cerambyx cerdo,455000.000,4945000.000
Cerambyx cerdo,465000.000,4905000.000
Cerambyx cerdo,475000.000,4915000.000
Cerambyx cerdo,475000.000,4945000.000
Cerambyx cerdo,485000.000,4915000.000
Cerambyx cerdo,485000.000,4955000.000
Cerambyx cerdo,495000.000,4915000.000
Cerambyx cerdo,495000.000,4935000.000
Cerambyx cerdo,495000.000,4945000.000
Cerambyx cerdo,415000.000,5035000.000
Cerambyx cerdo,415000.000,5045000.000
Cerambyx cerdo,485000.000,5075000.000
Cerambyx cerdo,505000.000,4395000.000
Cerambyx cerdo,525000.000,4355000.000
Cerambyx cerdo,535000.000,4345000.000
Cerambyx cerdo,545000.000,4335000.000
Cerambyx cerdo,505000.000,4495000.000
Cerambyx cerdo,525000.000,4445000.000
Cerambyx cerdo,555000.000,4535000.000
Cerambyx cerdo,575000.000,4875000.000
Cerambyx cerdo,505000.000,4925000.000
Cerambyx cerdo,505000.000,4935000.000
Cerambyx cerdo,515000.000,4915000.000
Cerambyx cerdo,525000.000,4905000.000
Cerambyx cerdo,535000.000,4905000.000
Cerambyx cerdo,555000.000,4905000.000
Cerambyx cerdo,585000.000,4995000.000
Cerambyx cerdo,525000.000,5045000.000
Cerambyx cerdo,595000.000,5045000.000
Cerambyx cerdo,535000.000,5125000.000
Cerambyx cerdo,535000.000,5135000.000
Cerambyx cerdo,545000.000,5105000.000
Cerambyx cerdo,555000.000,5115000.000
Cerambyx cerdo,565000.000,5115000.000
Cerambyx cerdo,605000.000,4735000.000
Cerambyx cerdo,625000.000,4785000.000
Cerambyx cerdo,625000.000,4795000.000
Cerambyx cerdo,655000.000,4735000.000
Cerambyx cerdo,605000.000,4825000.000
Cerambyx cerdo,625000.000,4865000.000
Cerambyx cerdo,625000.000,4875000.000
Cerambyx cerdo,685000.000,4855000.000
Cerambyx cerdo,655000.000,4945000.000
Cerambyx cerdo,685000.000,4905000.000
Cerambyx cerdo,685000.000,4925000.000
Cerambyx cerdo,625000.000,5085000.000
