anno,latitudine,longitudin,public_pos,geoprivacy,coordinate
03/07/2014,43.730214099999998,11.022149600000001,"20",,"0"
17/08/2014,40.745696000000002,16.411686000000000,"3324",,"0"
01/03/2011,45.152110999999998,7.602512000000000,"2500",,"0"
07/07/2015,42.779298333299998,13.402291666700000,"5",,"0"
15/07/2015,44.604646407799997,7.627077806600000,"27285",obscured,"1"
08/06/1996,44.745388488200000,7.631332368900000,"27285",obscured,"1"
15/06/2015,44.841913829100001,7.779231215800000,"27253",obscured,"1"
,44.700915000000002,8.035691000000000,"4391",,"0"
,44.661766999999998,8.045187000000000,"1563",,"0"
,44.638942000000000,7.933805000000000,"1414",,"0"
24/06/2014,43.809035000000002,11.238284999999999,,,"0"
14/06/2015,43.809089999999998,11.238313000000000,,,"0"
28/05/2016,45.168149426600003,10.288347190900000,"27222",obscured,"1"
08/06/2016,44.957397867200001,7.020591045100000,"27238",obscured,"1"
14/06/2016,45.038305434800002,10.278050284600001,"27222",obscured,"1"
18/06/2016,44.037321292599998,10.142301057799999,"32",,"0"
12/07/2016,40.171750062199997,9.561294950600001,"5",,"0"
11/07/2016,44.842607817000001,9.043597094700001,"43",,"0"
09/08/2016,39.352750000000000,16.048165000000001,"8",,"0"
30/04/2016,44.860931000000001,8.324743000000000,,,"0"
21/08/2014,45.053361563599999,10.293965260900000,"27222",obscured,"1"
22/06/2005,42.801196800800000,10.366355506000000,"158",,"0"
16/07/2016,40.167020603399997,9.623916149099999,"50",,"0"
18/06/2016,45.603470508999997,9.283681623000000,"115",,"0"
18/07/2016,40.020966658399999,9.648758769000001,"40",,"0"
30/05/2017,43.768095700000003,13.059255500000001,"25",,"0"
01/06/2014,37.121744000000000,14.990544000000000,,,"0"
07/06/2017,45.190940904800001,10.212995178200000,"27222",obscured,"1"
01/07/2017,40.714480000000002,13.871580000000000,"491",,"0"
21/05/2017,40.634358333300000,14.400430000000000,,,"0"
27/06/2009,46.013997669299997,9.284642827400001,"18",,"0"
30/05/2018,45.398780822799999,9.870612144500001,,,"0"
04/06/2018,38.139484799999998,13.347475599999999,"22",,"0"
05/06/2018,45.489856719999999,10.289702415500001,,,"0"
02/06/2018,39.223706898300001,8.599271401799999,"258",,"0"
06/06/2018,43.925418831999998,10.921328477599999,"44028",,"0"
31/05/2018,44.083600267199998,9.900271855300000,"258",,"0"
13/06/2018,40.851821299999997,17.125237700000000,"19",,"0"
31/03/2013,43.821399704999997,10.261576473700000,"1376",,"0"
14/06/2018,40.203568350600001,9.437225965100000,"27969",obscured,"1"
15/06/2018,44.176339400000003,8.328821800000000,"24",,"0"
21/06/2018,40.759435843900000,13.867895007100000,"2752",,"0"
02/07/2018,44.809683963600001,10.308132199899999,"65",,"0"
08/07/2018,42.249958830799997,12.057974226800001,"258",,"0"
08/07/2018,45.415348366400003,11.537037603600000,"176",,"0"
13/07/2018,44.046114052299998,12.487803434200000,"2109",,"0"
14/07/2018,42.249623045600003,12.057734504300001,"516",,"0"
31/07/2018,41.814041199999998,12.939217299999999,"20",,"0"
18/06/2018,45.942096666700003,11.092968333300000,,,"0"
13/08/2018,40.541147698000003,16.152893415800001,"31",,"0"
08/10/2018,44.804130000000001,7.720850000000000,"3",,"0"
24/06/2018,43.350499599700001,10.401788342300000,"27505",obscured,"1"
24/05/2018,45.154025572599998,10.353357548300000,"27222",obscured,"1"
04/08/2018,42.266697666200002,13.797261759200000,"15",,"0"
18/07/2018,43.090247166700003,10.537678333300001,"5",,"0"
24/06/2018,43.333088333299997,11.308595000000000,"5",,"0"
02/06/2019,45.431971666700001,8.828101666700000,"4",,"0"
06/06/2019,41.955413333300001,12.163033333300000,"8",,"0"
